trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",30,0,-43.37075105593109,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,12,14.361894630018456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",30,12,9.637486831049474,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,10,14.067492615484458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,6,-28.781154574222995,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,1,1.3555223998781605,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,7,-10.34066607841632,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,0,-23.350525681727586,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,16,7.776721430492209,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,8,-30.68906886054283,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,8,-57.11981896890717,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,6,18.69200984277646,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",35,0,-95.33045375153634,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,15,0.5426094084181141,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,1,29.39834164217099,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,12,12.200449594948697,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,4,25.25253196501062,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,0,-13.657003475881522,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,6,-18.548314208755997,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,0,21.777913497641702,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,13,26.617105740436564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,8,-23.46690568285636,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,2,-41.112152114312025,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",35,18,11.545872935675767,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,8.581426795136675,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,14,-2.7335098667117954,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,6,12.107567800406782,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",30,15,24.215613104836812,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,15,16.335561333529405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",20,11,20.134608097684424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,8,23.074581492136737,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,6,22.992736656512516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
